pair_id	sid	tid	speaker	utt	sum	interval_sum_label	interval_last_label
PP1015	1	1	PP1015-A	こんばんは。出身はどちらですか？			
PP1015	1	2	PP1015-B	私は四国出身。今は岐阜に引っ越してきて間もなく、ようやく事務職に就いて働いているところです。	私は四国出身です。私は事務職に就いています。		
PP1015	1	3	PP1015-A	四国なんですね！わたしは茨城生まれで、スーパーのパートタイマーで働いています。	私はスーパーでパートをしています。		
PP1015	1	4	PP1015-B	スーパーもお忙しいでしょう。私は手先に自信があるので、本当は美容師になりたかったんです。	私は手先に自信があり、美容師になりたかったです。		
PP1015	1	5	PP1015-A	勉強が不得意なので、効率よく仕事ができないので忙しく感じます。美容師の夢はもう諦めたんですか？	私は勉強が不得意です。		
PP1015	1	6	PP1015-B	そうですね。諦めて趣味のDIYに打ち込んでいます。	私の趣味はDIYです。		
PP1015	1	7	PP1015-A	DIYですか！手先が器用で羨ましいです。			
PP1015	1	8	PP1015-B	いえいえ、好きなことですから。あなたは何か好きなことありますか？			
PP1015	1	9	PP1015-A	貯金が好きですね。給料のほとんどを貯金に回しています。	私は貯金が好きで、給料をほとんど貯金しています。		
PP1015	1	10	PP1015-B	すばらしい！見習わなくちゃ。			
PP1015	1	11	PP1015-A	ありがとうございます。でも本当は趣味が欲しいんですよ。			
PP1015	1	12	PP1015-B	今からでもいろいろ趣味見つけられますよ。			
PP1015	2	1	PP1015-A	そう言えばなんですけど！		1時間後	1時間後
PP1015	2	2	PP1015-B	うん？どうかしたんですか？		1時間後	1時間後
PP1015	2	3	PP1015-A	DIYが趣味って言ってたじゃないですか！		1時間後	1時間後
PP1015	2	4	PP1015-B	そうですね。さっき、そう言いましたね。	私はDIYが趣味です。	1時間後	1時間後
PP1015	2	5	PP1015-A	自分で作るのと買うのって、結局どっちがコスト的に得なんですか？		1時間後	1時間後
PP1015	2	6	PP1015-B	作る物と材料によりますかね。安い材料で作れれば手作り。高い材料だと、かえって高くつくこともあります。		1時間後	1時間後
PP1015	2	7	PP1015-A	そうですか。さっきお話うかがって、私もDIYを趣味にしようかなって思い始めたんですけど。	私はDIYを趣味にしたいです。	1時間後	1時間後
PP1015	2	8	PP1015-B	そうだったんですね。それも楽しいと思いますよ。私の趣味もまだ始めて1年くらいですから。	私の趣味のDIYは始めて１年くらいです。	1時間後	1時間後
