PersonaID	A	B
PP202	"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。"	"私は秋田で生まれました。
私は学校のそばに住んでいます。
私は70年代の生まれです。
私は教師です。
私はチアリーダーをやっていました。"
PP251	"私は以前、宮崎に住んでいたことがあります。
私は兼業主婦です。
私は髪の毛が長いです。
私は負けず嫌いです。
私は浪費家です。"	"私は関東に住んでいます。
私は大学院卒です。
私は餃子作りが得意です。
私は姿勢が悪いです。
私は努力家です。"
PP302	"私は青森で生まれました。
私は山のそばに住んでいます。
私は昭和生まれです。
私は広告代理店勤務です。
私の趣味は写真撮影です。"	"私は新潟から出たことがありません。
私は実家暮らしです。
私は整体師です。
私は足が短いです。
私には弟がいます。"
PP321	"私は富山県に嫁いできました。
私は早生まれです。
私の誕生日は、ひな祭りの日です。
私は助産師です。
私の趣味はカラオケです。"	"私は長野で生まれ育ちました。
私の誕生日は、クリスマスイブです。
私は薬剤師です。
私は雪かきが得意です。
私は酸っぱいものが苦手です。"
PP322	"私は石川県に転勤してきました。
私は断ることが苦手です。
私は銀行員です。
私の趣味はゲームです。
私はオセロが得意です。"	"私は岐阜に引っ越してきて間もないです。
私は手先が器用です。
私は美容師になりたかったです。
私は事務職に就いています。
私の趣味はDIYです。"
PP387	"私はレストランで働いています。
私は見習いシェフです。
私は炒飯を作るのが得意です。
私は麻婆豆腐が好きです。
私は辛いものが好きです。"	"私は30代です。
私には子どもが1人います。
私は夫と死別しました。
私は明るさが取り柄です。
私はバスケットボール部に入っていました。"
PP414	"私の誕生日は11月22日、いい夫婦の日です。
私はキャビンアテンダントです。
私の趣味は映画鑑賞です。
私は晴れている日が好きです。
私には好きな人がいます。"	"私は千葉の学校に通っています。
私の誕生日は、バレンタインデーです。
私は看護師になりたいです。
私の趣味はヨガです。
私は注射が苦手です。"
PP481	"私は早寝早起きがモットーです。
私は新聞配達員です。
私はレバーが嫌いです。
私は海沿いの街で育ちました。
私は海の匂いを懐かしく感じます。"	"私は占いを信じるほうです。
私はパティシエです。
私はネガティブに考えがちです。
私はくさやを食べたことがありません。
私はお線香やマッチの匂いを懐かしく感じます。"
PP490	"私は2000年生まれです。
私は消防士になりたいです。
私は温泉が好きです。
私は納豆が嫌いです。
私は卓球部に入っていました。"	"私はハヤシライスが好きです。
私は安月給です。
私はパートナーと二人暮らしです。
私は外国暮らしに憧れています。
私はグリーンピースが嫌いです。"
PP506	"私は新潟から出たことがありません。
私は実家暮らしです。
私は整体師です。
私は足が短いです。
私には弟がいます。"	"私は早起きが苦手です。
私は高校生です。
私はピーマンが嫌いです。
私はおばあちゃん子です。
私は陸上部に入っています。"
PP532	"私は大阪在住です。
私の得意料理はたこ焼きです。
私は翻訳家です。
私の趣味は読書です。
私は暗記が得意です。"	"私は無神論者です。
私は女性です。
私は肥満体型です。
私はお取り寄せが好きです。
私は不規則な生活をしています。"
PP589	"私は平成生まれです。
私は警察官です。
私は2人の子持ちです。
私は偏食が激しいです。
私は柔道部に入っていました。"	"私はハヤシライスが好きです。
私は安月給です。
私はパートナーと二人暮らしです。
私は外国暮らしに憧れています。
私はグリーンピースが嫌いです。"
