room	dayid	speaker	utterance
room_01	1	[SPK--TEXTCHAT01]	こんばんは、よろしくお願いします！
room_01	1	[SPK--TEXTCHAT02]	初めまして。これからよろしくお願いします！
room_01	1	[SPK--TEXTCHAT01]	[SPK--TEXTCHAT02]さんとお呼びしてもよろしいでしょうか？
room_01	1	[SPK--TEXTCHAT01]	わたしは「[SPK--TEXTCHAT01]」でもなんでも大丈夫です！
room_01	1	[SPK--TEXTCHAT02]	はい！[SPK--TEXTCHAT02]でお願いします。
room_01	1	[SPK--TEXTCHAT02]	いきなりですが、簡単に自己紹介させていただいてよろしいですか？
room_01	1	[SPK--TEXTCHAT01]	はい！是非お願いします
room_01	1	[SPK--TEXTCHAT02]	"[SPK--TEXTCHAT02]と申します。
今学生でして、来年から社会人になります！
埼玉出身です。
うさぎを飼ってて溺愛してます。
簡単な自己紹介にはなりますが、これからよろしくお願いします！"
room_01	1	[SPK--TEXTCHAT01]	"[SPK--TEXTCHAT01]です。
私も学生です！出身は色々あってイギリスです()
好きなことは歌うことと音楽を聴くことです！
よろしくお願いします。"
room_01	1	[SPK--TEXTCHAT01]	うさぎ飼ってるんですね！動物って愛くるしくて癒されますよね…
room_01	1	[SPK--TEXTCHAT02]	"イギリスなんですか？！
気になりますが聞かないでおきます"
room_01	1	[SPK--TEXTCHAT02]	私もカラオケでよく歌います！
room_01	1	[SPK--TEXTCHAT02]	音楽は何聴くんですか？
room_01	1	[SPK--TEXTCHAT01]	"親の仕事上でイギリスで生まれただけです笑
カラオケいいですね！
ヨルシカが一番よく聞きますね。"
room_01	1	[SPK--TEXTCHAT02]	"あ、そうなんですね笑
聞いちゃいけないやつかと笑"
room_01	1	[SPK--TEXTCHAT02]	"ヨルシカいいですよね！
私もよく聴きます"
room_01	1	[SPK--TEXTCHAT02]	八月、某、月明かりがすごい好きです
room_01	1	[SPK--TEXTCHAT01]	"全然です！ごめんなさい含み持たせてしまって笑
私も好きです！！
八月と憂一乗がすごいすきで散歩しながら聞くのが最近のマイブームです…"
room_01	2	[SPK--TEXTCHAT02]	"おはようございます！
散歩とヨルシカは最高にエモいですね..."
room_01	2	[SPK--TEXTCHAT01]	"おはようございます?
MVを見るより、本当の空とか風景を見ながら聞くとすごくエモいですね…
ぜひやってみてください！"
room_01	2	[SPK--TEXTCHAT02]	憂一乗聞きながら景色見てみてみます
room_01	2	[SPK--TEXTCHAT02]	今学校はいってますか？
room_01	2	[SPK--TEXTCHAT01]	"夜空が湖の底に見えてすごくグッときますよ…
オンラインなので行ってないですね"
room_01	2	[SPK--TEXTCHAT02]	近くに湖があるんですか？
room_01	2	[SPK--TEXTCHAT02]	やっぱそうですよねえ
room_01	2	[SPK--TEXTCHAT01]	"あ、違くて笑
憂一乗の歌詞に「湖の底にいるみたいだ」ってのがあるので笑
たまに行くことありますけど、いちいち書類出さないと行けないのが面倒なんですよね…"
room_01	2	[SPK--TEXTCHAT02]	"あ、そういうことですね笑
てっきり湖のある自然豊かなところに暮らしているのかと笑"
room_01	2	[SPK--TEXTCHAT02]	書類もオンラインにしてくれればいいですねぇ
room_01	2	[SPK--TEXTCHAT02]	なに勉強されてるんですか？
room_01	3	[SPK--TEXTCHAT01]	"将来は湖とか海の見える場所でゆったりと過ごしたいですね！
わかります…
私は音楽を勉強してますよ?"
room_01	3	[SPK--TEXTCHAT02]	音楽ですか！！
room_01	3	[SPK--TEXTCHAT02]	それは音大生ということですか？
room_01	3	[SPK--TEXTCHAT01]	そうです！
room_01	3	[SPK--TEXTCHAT02]	"かっこいいですね！
私の姉も音大に行ってましたが、すごい憧れがあります"
room_01	3	[SPK--TEXTCHAT02]	作曲とかですか？
room_01	3	[SPK--TEXTCHAT01]	そうなんですね！自分は歌の方ですね！
